lemma	stem	lemma_freq	stem_type
magyarázkodik	maḏarázkod	23077	cvc
sértődik	šértődöm	14545	cvc
bánkódik	bánkód	14891	cvc
belenyugszik	beleṉugs	16940	cc
lenyugszik	leṉugs	17153	cc
kimászik	kimás	25080	cvc
kerékpározik	kerékpároz	8444	cvc
kibújik	kibúj	36150	cvc
vergődik	vergődöm	27087	cvc
védekezik	védekez	166798	cvc
avatkozik	avatkoz	45734	cvc
szokik	sok	1306902	cvc
éhezik	éhez	59636	cvc
visszafekszik	vissafeks	4209	cc
visszakanyarodik	vissakaṉarod	15946	cvc
felöltözik	felöltözök	33764	cvc
nosztalgiázik	nostalgiáz	17745	cvc
telepszik	teleped	93057	cvc
ereszkedik	eresked	50960	cvc
ingázik	ingáz	17703	cvc
vitorlázik	vitorláz	19586	cvc
ügyfelezik	üḏfelez	458	cvc
szűnik	sűnök	168796	cvc
végigjátszik	végigjáts	17386	cc
belelapozik	belelapoz	3468	cvc
beesik	beeš	21279	cvc
húzódik	húzód	188010	cvc
erőlködik	erőlködök	26402	cvc
fosik	foš	9133	cvc
különbözik	különbözök	364143	cvc
lejátszik	lejáts	57316	cc
vergődik	vergődök	27087	cvc
habozik	haboz	56137	cvc
féltékenykedik	féltékeṉked	3256	cvc
játszadozik	játsadoz	20243	cvc
foglalatoskodik	foglalatoškod	11387	cvc
beledolgozik	beledolgoz	2267	cvc
uralkodik	uralkod	204714	cvc
megszűnik	megsűnök	551916	cvc
távolodik	távolod	45390	cvc
sugárzik	šugárz	39114	cc
töltődik	töltődöm	39903	cvc
hajózik	hajóz	33540	cvc
meggyőződik	meḏḏőződöm	87904	cvc
lakozik	lakoz	39428	cvc
kívánkozik	kívánkoz	19880	cvc
bajlódik	bajlód	39724	cvc
elugrik	elugr	8713	cc
megemlékszik	megemlékez	647	cvc
mosolyodik	mošojod	11411	cvc
intézkedik	intézked	119410	cvc
merészkedik	merésked	32469	cvc
szeretkezik	seretkez	27905	cvc
napozik	napoz	24323	cvc
értetlenkedik	értetlenked	11124	cvc
sértődik	šértődök	14545	cvc
egyezik	eḏez	230655	cvc
elkeseredik	elkešered	25674	cvc
érettségizik	érettšégiz	46998	cvc
elegyedik	eleḏed	21613	cvc
ázik	áz	36090	cvc
futballozik	futballoz	36728	cvc
bezárkózik	bezárkóz	15885	cvc
vétkezik	vétkez	32653	cvc
közreműködik	közreműködök	168427	cvc
bepróbálkozik	bepróbálkoz	7114	cvc
elzárkózik	elzárkóz	27402	cvc
kötözködik	kötözködöm	6981	cvc
tipródik	tipród	3039	cvc
idősödik	időšödöm	4870	cvc
kérdezősködik	kérdezőšködöm	15795	cvc
elhatárolódik	elhatárolód	19819	cvc
megszületik	megsület	243827	cvc
ügyködik	üḏködöm	11226	cvc
borotválkozik	borotválkoz	7593	cvc
edzősködik	edzőšködöm	4862	cvc
elfeledkezik	elfeledkez	37950	cvc
érintkezik	érintkez	84963	cvc
beköltözik	beköltözöm	38286	cvc
gyönyörködik	ḏöṉörködök	112176	cvc
megbotlik	megbotl	11866	cc
kifekszik	kifeks	5707	cc
megdolgozik	megdolgoz	34203	cvc
elköltözik	elköltözök	37530	cvc
elhelyezkedik	elhejezked	62436	cvc
kezeskedik	kezešked	3469	cvc
tik	t	20111	cvc
nekiveselkedik	nekivešelked	6567	cvc
morfondírozik	morfondíroz	8450	cvc
átesik	áteš	37432	cvc
elkalandozik	elkalandoz	17558	cvc
elvérzik	elvérz	3229	cc
közreműködik	közreműködöm	168427	cvc
megbetegszik	megbetegs	16191	cc
átugrik	átugr	31285	cc
megbukik	megbuk	51643	cvc
együttműködik	eḏüttműködök	322685	cvc
értekezik	értekez	31517	cvc
lebukik	lebuk	27928	cvc
elbukik	elbuk	66015	cvc
elszomorodik	elsomorod	10813	cvc
feledkezik	feledkez	122115	cvc
tűnődik	tűnődök	27257	cvc
meghatódik	meghatód	16372	cvc
emelkedik	emelked	747438	cvc
kiköltözik	kiköltözöm	20338	cvc
őrködik	őrködöm	18581	cvc
példálózik	példálóz	8093	cvc
randizik	randiz	20259	cvc
gazdagodik	gazdagod	134939	cvc
hazaköltözik	hazaköltözöm	8853	cvc
ráfekszik	ráfeks	10144	cc
fajlik	fajl	319	cc
szégyenkezik	séḏenkez	31859	cvc
fesztiválozik	festiváloz	3858	cvc
beletörődik	beletörődöm	25233	cvc
visszaesik	vissaeš	65855	cvc
megálmodik	megálmod	47036	cvc
megharagszik	megharags	12121	cc
segédkezik	šegédkez	34011	cvc
szemlélődik	semlélődök	7906	cvc
lecsúszik	lečús	38023	cvc
tépelődik	tépelődöm	5780	cvc
sörözik	šörözök	16041	cvc
izzik	izz	23399	cc
erősödik	erőšödöm	216852	cvc
feliratkozik	feliratkoz	52154	cvc
mérgelődik	mérgelődöm	8595	cvc
szándékozik	sándéks	57854	cc
összeomlik	össeoml	35745	cc
folyamodik	fojamod	49090	cvc
mosakszik	mošakod	11483	cvc
kijátszik	kijáts	30220	cc
ráhangolódik	ráhangolód	19435	cvc
tornászik	tornás	6772	cvc
igyekszik	iḏekez	1372052	cvc
leszokik	lesok	37048	cvc
ringatózik	ringatóz	8674	cvc
bealszik	beals	5391	cc
kondizik	kondiz	1116	cvc
verekszik	vereks	32024	cc
siklik	šikl	27173	cc
hozakodik	hozakod	6156	cvc
videózik	videóz	13191	cvc
élősködik	élőšködök	9346	cvc
sajnálkozik	šajnálkoz	14151	cvc
újjászületik	újjásület	24680	cvc
vetemedik	vetemed	15187	cvc
viccelődik	viccelődöm	25234	cvc
beletartozik	beletartoz	52120	cvc
beleütközik	beleütközöm	9505	cvc
problémázik	problémáz	4720	cvc
korcsolyázik	korčojáz	4900	cvc
megpályázik	megpájáz	7534	cvc
képzelődik	képzelődök	5210	cvc
megcsúszik	megčús	23359	cvc
szemlélődik	semlélődöm	7906	cvc
elidőzik	elidőzök	13466	cvc
felháborodik	felháborod	34944	cvc
megemlékezik	megemlékez	78589	cvc
elszórakozik	elsórakoz	7123	cvc
felvételizik	felvételiz	14651	cvc
ténykedik	téṉked	7581	cvc
adatik	adat	76358	cvc
kicsúszik	kičús	36725	cvc
átdolgozik	átdolgoz	254	cvc
megfürdik	megfürdök	8972	cvc
feltűnik	feltűnök	220069	cvc
visszaalszik	vissaals	8622	cc
őrlődik	őrlődöm	6626	cvc
iparkodik	iparkod	13706	cvc
leereszkedik	leeresked	25996	cvc
időzik	időzöm	35735	cvc
megjátszik	megjáts	16851	cc
megsértődik	megšértődöm	25791	cvc
szerződik	serződök	51630	cvc
bíbelődik	bíbelődöm	14337	cvc
kikapcsolódik	kikapčolód	57490	cvc
ellenkezik	ellenkez	35786	cvc
hazaérkezik	hazaérkez	17769	cvc
kötözködik	kötözködök	6981	cvc
szerencsétlenkedik	serenčétlenked	4615	cvc
melegszik	melegs	43511	cc
mosakszik	mošaks	11483	cc
alkudozik	alkudoz	14494	cvc
drogozik	drogoz	9319	cvc
lottózik	lottóz	2828	cvc
heverészik	heverés	9293	cvc
ingadozik	ingadoz	33254	cvc
iszonyodik	isoṉod	3335	cvc
ledolgozik	ledolgoz	340	cvc
mérgelődik	mérgelődök	8595	cvc
sóhajtozik	šóhajtoz	11449	cvc
kiegyezik	kieḏez	11904	cvc
oldódik	oldód	72937	cvc
vesződik	vesődöm	11312	cvc
lezuhanyozik	lezuhaṉoz	6485	cvc
alkudik	alkus	17918	cvc
belefeledkezik	belefeledkez	10048	cvc
kotorászik	kotorás	6224	cvc
törekszik	töreked	642126	cvc
pakolászik	pakolás	4806	cvc
kiköltözik	kiköltözök	20338	cvc
növekszik	növeks	520866	cc
személyeskedik	seméješked	6741	cvc
tanúskodik	tanúškod	82256	cvc
hazudozik	hazudoz	13233	cvc
kúszik	kús	40879	cvc
elfelejtkezik	elfelejtkez	10895	cvc
viccelődik	viccelődök	25234	cvc
omlik	oml	44757	cc
lakkozik	lakkoz	4229	cvc
tapogatózik	tapogatóz	14479	cvc
megbarátkozik	megbarátkoz	22822	cvc
megerősödik	megerőšödöm	85075	cvc
megkomolyodik	megkomojod	2620	cvc
eltávolodik	eltávolod	50506	cvc
óvakodik	óvakod	18248	cvc
hadakozik	hadakoz	14604	cvc
vonakodik	vonakod	22619	cvc
bemászik	bemás	12683	cvc
beleugrik	beleugr	7921	cc
kérdezősködik	kérdezőšködök	15795	cvc
megegyezik	megeḏez	333045	cvc
megmosakszik	megmošaks	3666	cc
regenerálódik	regenerálód	25980	cvc
ügyködik	üḏködök	11226	cvc
lábadozik	lábadoz	7640	cvc
morgolódik	morgolód	4429	cvc
vajúdik	vajúd	5934	cvc
megreggelizik	megreggeliz	6609	cvc
bóklászik	bóklás	13080	cvc
felkerekedik	felkereked	15069	cvc
siránkozik	širánkoz	14018	cvc
bonyolódik	boṉolód	34776	cvc
vonatozik	vonatoz	6608	cvc
nyújtózkodik	ṉújtózkod	14864	cvc
beköltözik	beköltözök	38286	cvc
mélázik	méláz	4413	cvc
megfázik	megfáz	16642	cvc
tollaslabdázik	tollašlabdáz	908	cvc
buszozik	busoz	4958	cvc
bíbelődik	bíbelődök	14337	cvc
tanakodik	tanakod	16021	cvc
fogyókúrázik	foḏókúráz	8411	cvc
nyűglődik	ṉűglődök	2514	cvc
takarékoskodik	takarékoškod	21081	cvc
gúnyolódik	gúṉolód	12545	cvc
bicajozik	bicajoz	3866	cvc
lustálkodik	luštálkod	6541	cvc
száguldozik	ságuldoz	16139	cvc
kinyúlik	kiṉúl	10671	cvc
nyűglődik	ṉűglődöm	2514	cvc
feloldódik	feloldód	35354	cvc
bekapcsolódik	bekapčolód	99843	cvc
feltápászkodik	feltápáskod	7807	cvc
hangolódik	hangolód	27076	cvc
kardoskodik	kardoškod	6275	cvc
kinyílik	kiṉíl	76084	cvc
vívódik	vívód	5972	cvc
botladozik	botladoz	8796	cvc
fingik	fing	4111	cc
aggodalmaskodik	aggodalmaškod	9029	cvc
összeveszik	össeves	25417	cvc
inspirálódik	inšpirálód	14450	cvc
kiolajozik	kiolajoz	2271	cvc
tolakszik	tolaks	10114	cc
kiesik	kieš	135498	cvc
lobbizik	lobbiz	17334	cvc
adakozik	adakoz	17936	cvc
rajzik	rajz	5848	cc
visszaköltözik	vissaköltözöm	14598	cvc
bogarászik	bogarás	7314	cvc
átöltözik	átöltözök	16761	cvc
kamionozik	kamionoz	393	cvc
leesik	leeš	107460	cvc
beletörődik	beletörődök	25233	cvc
összeköltözik	össeköltözök	7731	cvc
szerződik	serződöm	51630	cvc
gürizik	güriz	2101	cvc
vetődik	vetődöm	46715	cvc
hozzászokik	hozzások	73880	cvc
háborodik	háborod	17472	cvc
tengődik	tengődöm	10351	cvc
vételezik	vételez	2305	cvc
kutyázik	kuṯáz	722	cvc
bevackolódik	bevackolód	426	cvc
kezdődik	kezdődök	1314350	cvc
korizik	koriz	2844	cvc
kopaszodik	kopasod	3051	cvc
rádiózik	rádióz	5003	cvc
töltekezik	töltekez	7443	cvc
nyújtózik	ṉújtóz	10262	cvc
összekapcsolódik	össekapčolód	38804	cvc
elkanyarodik	elkaṉarod	9134	cvc
sakkozik	šakkoz	14004	cvc
beletemetkezik	beletemetkez	1486	cvc
kerekezik	kerekez	7868	cvc
megsértődik	megšértődök	25791	cvc
bohóckodik	bohóckod	10687	cvc
elmúlik	elmúl	199451	cvc
elálmosodik	elálmošod	3886	cvc
kiutazik	kiutaz	7020	cvc
hozzádolgozik	hozzádolgoz	363	cvc
belezavarodik	belezavarod	3431	cvc
informálódik	informálód	20387	cvc
zuhanyozik	zuhaṉz	20011	cc
hadonászik	hadonás	10296	cvc
levadászik	levadás	12191	cvc
átsiklik	átšikl	9596	cc
beiratkozik	beiratkoz	32302	cvc
odaköltözik	odaköltözöm	4631	cvc
szarakodik	sarakod	5699	cvc
őrlődik	őrlődök	6626	cvc
átalszik	átals	10009	cc
föladatik	föladat	527	cvc
tobzódik	tobzód	11742	cvc
fuldoklik	fuldokl	7240	cc
belekapaszkodik	belekapaskod	10315	cvc
elcsúszik	elčús	21163	cvc
erősödik	erőšödök	216852	cvc
hugyozik	huḏoz	3653	cvc
multizik	multiz	1966	cvc
megbizonyosodik	megbizoṉošod	31472	cvc
elsiklik	elšikl	12180	cc
koncertezik	koncertez	42382	cvc
szegődik	segődöm	26862	cvc
eladatik	eladat	1024	cvc
szabadkozik	sabadkoz	8713	cvc
teázik	teáz	7811	cvc
átváltozik	átváltoz	13580	cvc
haverkodik	haverkod	3524	cvc
hámozik	hámoz	1892	cvc
múlik	múl	558108	cvc
odabújik	odabúj	2426	cvc
poénkodik	poénkod	7916	cvc
átköltözik	átköltözöm	17698	cvc
öltözködik	öltözködök	29838	cvc
aszik	as	5633	cvc
hüledezik	hüledez	4646	cvc
belealszik	beleals	2242	cc
belebetegszik	belebetegs	1528	cc
megéhezik	megéhez	17273	cvc
pihizik	pihiz	994	cvc
belekeveredik	belekevered	14497	cvc
esküszik	ešküsök	82803	cvc
hozzábújik	hozzábúj	1407	cvc
lefürdik	lefürdök	1714	cvc
leutazik	leutaz	3254	cvc
történik	történ	4203497	cvc
felkapaszkodik	felkapaskod	22988	cvc
kíváncsiskodik	kívánčiškod	4599	cvc
kitűnik	kitűnök	90235	cvc
csapódik	čapód	59286	cvc
fellélegzik	fellélegz	19582	cc
szétesik	séteš	46570	cvc
dobálózik	dobálóz	12200	cvc
visszavágyik	vissaváḏ	5670	cvc
belemászik	belemás	5919	cvc
csajozik	čajoz	8156	cvc
kiiszik	kiis	5394	cvc
rejtőzködik	rejtőzködöm	13531	cvc
szembetalálkozik	sembetalálkoz	5296	cvc
viaskodik	viaškod	10940	cvc
cigarettázik	cigarettáz	7767	cvc
keseredik	kešered	22200	cvc
kétségbeesik	kétšégbeeš	19352	cvc
megborotválkozik	megborotválkoz	1879	cvc
megházasodik	megházašod	11688	cvc
puskázik	puškáz	4497	cvc
tétovázik	tétováz	2262	cvc
beavatkozik	beavatkoz	46977	cvc
erősködik	erőšködöm	7991	cvc
vetődik	vetődök	46715	cvc
bámészkodik	báméskod	6070	cvc
kialszik	kials	30043	cc
lemászik	lemás	8456	cvc
megállapodik	megállapod	143609	cvc
mozizik	moziz	2159	cvc
visszabújik	vissabúj	1796	cvc
eligazodik	eligazod	58705	cvc
felkarikázik	felkarikáz	3831	cvc
meggyőződik	meḏḏőződök	87904	cvc
visszaváltozik	vissaváltoz	3553	cvc
zuhanyozik	zuhaṉoz	20011	cvc
eltelik	eltel	161173	cvc
elzüllik	elzüllök	855	cvc
kibaszik	kibas	9144	cvc
éjszakázik	éjsakáz	12361	cvc
összetalálkozik	össetalálkoz	15908	cvc
betegszik	betegs	9223	cc
beöltözik	beöltözök	10204	cvc
eldicsekszik	eldičeks	3821	cc
elfekszik	elfeks	4920	cc
megkapaszkodik	megkapaskod	11475	cvc
ásítozik	ášítoz	3555	cvc
belefolyik	belefoj	8501	cvc
bűzlik	bűzlök	12877	cvc
kapálózik	kapálóz	6110	cvc
kártyázik	kárṯáz	10854	cvc
megvilágosodik	megvilágošod	20867	cvc
ékeskedik	ékešked	5504	cvc
hazaesik	hazaeš	1395	cvc
felemelkedik	felemelked	34484	cvc
ráugrik	ráugr	6869	cc
összezavarodik	össezavarod	13611	cvc
beleütközik	beleütközök	9505	cvc
hallgatózik	hallgatóz	8614	cvc
hősködik	hőšködöm	1727	cvc
grillezik	grillez	5885	cvc
hitetlenkedik	hitetlenked	11667	cvc
lezuhanyozik	lezuhaṉz	6485	cc
visszaemlékszik	vissaemlékez	9861	cvc
visszautazik	vissautaz	7398	cvc
jeleskedik	jelešked	26740	cvc
beleillik	beleill	22806	cc
betojik	betoj	2067	cvc
büszkélkedik	büskélked	84413	cvc
csalatkozik	čalatkoz	4769	cvc
fulladozik	fulladoz	4240	cvc
futkározik	futkároz	9294	cvc
kopik	kop	45804	cvc
mosdik	mošd	3663	cc
babázik	babáz	5288	cvc
elrugaszkodik	elrugaskod	22262	cvc
örömködik	örömködök	4042	cvc
bekanyarodik	bekaṉarod	6485	cvc
modellkedik	modellked	4159	cvc
átmászik	átmás	8499	cvc
bedolgozik	bedolgoz	4052	cvc
elvörösödik	elvöröšödöm	4783	cvc
jóllakik	jóllak	27189	cvc
lehúzódik	lehúzód	4313	cvc
művelődik	művelődöm	4170	cvc
töltődik	töltődök	39903	cvc
beöltözik	beöltözöm	10204	cvc
bővelkedik	bővelked	38446	cvc
kikászálódik	kikásálód	4996	cvc
megcselekszik	megčeleks	6564	cc
meggazdagodik	meggazdags	15638	cc
túlesik	túleš	10922	cvc
elégedetlenkedik	elégedetlenked	6274	cvc
letelepszik	leteleps	24626	cc
pecázik	pecáz	5981	cvc
vetkőzik	vetkőzök	24148	cvc
visszahúzódik	vissahúzód	22535	cvc
átutazik	átutaz	4027	cvc
méhészkedik	méhésked	1838	cvc
ocsúdik	očúd	4854	cvc
kétkedik	kétked	9459	cvc
megvacsorázik	megvačoráz	5921	cvc
szentelődik	sentelődöm	1621	cvc
számítógépezik	sámítógépez	3476	cvc
visszamászik	vissamás	4783	cvc
eltűnődik	eltűnődök	9739	cvc
kitárulkozik	kitárulkoz	4038	cvc
visszaemlékezik	vissaemlékez	24196	cvc
fogadkozik	fogadkoz	8046	cvc
lehajlik	lehajl	1587	cc
