variation	base	category	suffix	input	output1	output
cselekszenek/cselekednek	törekszik	low	nek	töreksiK	töreksenek	töreksVnVk
cselekszenek/cselekednek	tanúskodik	low	nek	tanúškodiK	tanúškodnak	tanúškodnVk
cselekszenek/cselekednek	lakik	low	ünk	lakiK	lakunk	lakVnk
cselekszenek/cselekednek	keveredik	low	nek	keverediK	keverednek	keverednVk
cselekszenek/cselekednek	törekszik	high	tek	töreksiK	törekedtek	törekedtVk
cselekszenek/cselekednek	törekszik	low	tek	töreksiK	törekedtek	törekedtVk
cselekszenek/cselekednek	gyűlik	low	nek	ḏűliK	ḏűlnek	ḏűlnVk
cselekszenek/cselekednek	egyezik	low	nek	eḏeziK	eḏeznek	eḏeznVk
cselekszenek/cselekednek	húzódik	low	nek	húzódiK	húzódnak	húzódnVk
cselekszenek/cselekednek	iszik	low	ünk	isiK	isunk	isVnk
cselekszenek/cselekednek	hangzik	high	nek	hangziK	hangzanak	hangzVnVk
cselekszenek/cselekednek	tárolódik	low	nek	tárolódiK	tárolódnak	tárolódnVk
cselekszenek/cselekednek	aggódik	low	nek	aggódiK	aggódnak	aggódnVk
cselekszenek/cselekednek	múlik	low	nek	múliK	múlnak	múlnVk
cselekszenek/cselekednek	távozik	low	nek	távoziK	távoznak	távoznVk
cselekszenek/cselekednek	költözik	low	nek	költöziK	költöznek	költöznVk
cselekszenek/cselekednek	törődik	low	nek	törődiK	törődnek	törődnVk
cselekszenek/cselekednek	növekszik	high	nek	növeksiK	növekednek	növekednVk
cselekszenek/cselekednek	növekszik	low	nek	növeksiK	növekednek	növekednVk
cselekszenek/cselekednek	ismerkedik	low	tek	išmerkediK	išmerkedtek	išmerkedtVk
cselekszenek/cselekednek	fekszik	high	nek	feksiK	feksenek	feksVnVk
cselekszenek/cselekednek	fekszik	low	nek	feksiK	feksenek	feksVnVk
cselekszenek/cselekednek	tiltakozik	low	nek	tiltakoziK	tiltakoznak	tiltakoznVk
cselekszenek/cselekednek	uralkodik	low	nek	uralkodiK	uralkodnak	uralkodnVk
cselekszenek/cselekednek	telepszik	low	tek	telepsiK	telepedtek	telepedtVk
cselekszenek/cselekednek	telepszik	high	tek	telepsiK	telepedtek	telepedtVk
cselekszenek/cselekednek	hazudik	low	nek	hazudiK	hazudnak	hazudnVk
cselekszenek/cselekednek	ismerkedik	low	nek	išmerkediK	išmerkednek	išmerkednVk
cselekszenek/cselekednek	alszik	high	ünk	alsiK	alsunk	alsVnk
cselekszenek/cselekednek	alszik	low	ünk	alsiK	alsunk	alsVnk
cselekszenek/cselekednek	növekszik	high	tek	növeksiK	növekedtek	növekedtVk
cselekszenek/cselekednek	növekszik	low	tek	növeksiK	növekedtek	növekedtVk
cselekszenek/cselekednek	imádkozik	low	ünk	imádkoziK	imádkozunk	imádkozVnk
cselekszenek/cselekednek	ugrik	high	nek	ugriK	ugranak	ugrVnVk
cselekszenek/cselekednek	igazodik	low	nek	igazodiK	igazodnak	igazodnVk
cselekszenek/cselekednek	keveredik	low	tek	keverediK	keveredtek	keveredtVk
cselekszenek/cselekednek	viselkedik	low	tek	višelkediK	višelkedtek	višelkedtVk
cselekszenek/cselekednek	bújik	low	nek	bújiK	bújnak	bújnVk
cselekszenek/cselekednek	működik	low	ünk	működiK	működünk	működVnk
cselekszenek/cselekednek	vélekedik	low	nek	vélekediK	vélekednek	vélekednVk
cselekszenek/cselekednek	imádkozik	low	nek	imádkoziK	imádkoznak	imádkoznVk
cselekszenek/cselekednek	árulkodik	low	nek	árulkodiK	árulkodnak	árulkodnVk
cselekszenek/cselekednek	ütközik	low	nek	ütköziK	ütköznek	ütköznVk
cselekszenek/cselekednek	ismerkedik	low	ünk	išmerkediK	išmerkedünk	išmerkedVnk
cselekszenek/cselekednek	közeledik	low	nek	közelediK	közelednek	közelednVk
cselekszenek/cselekednek	képződik	low	nek	képződiK	képződnek	képződnVk
cselekszenek/cselekednek	rejlik	high	nek	rejliK	rejlenek	rejlVnVk
cselekszenek/cselekednek	fűződik	low	nek	fűződiK	fűződnek	fűződnVk
cselekszenek/cselekednek	erősödik	low	nek	erőšödiK	erőšödnek	erőšödnVk
cselekszenek/cselekednek	búcsúzik	low	ünk	búčúziK	búčúzunk	búčúzVnk
cselekszenek/cselekednek	válik	low	tek	váliK	váltok	váltVk
cselekszenek/cselekednek	esik	low	ünk	ešiK	ešünk	ešVnk
cselekszenek/cselekednek	vitatkozik	low	nek	vitatkoziK	vitatkoznak	vitatkoznVk
cselekszenek/cselekednek	cselekszik	high	ünk	čeleksiK	čeleksünk	čeleksVnk
cselekszenek/cselekednek	cselekszik	low	ünk	čeleksiK	čeleksünk	čeleksVnk
cselekszenek/cselekednek	cselekszik	high	nek	čeleksiK	čeleksenek	čeleksVnVk
cselekszenek/cselekednek	cselekszik	low	nek	čeleksiK	čeleksenek	čeleksVnVk
cselekszenek/cselekednek	vadászik	low	nek	vadásiK	vadásnak	vadásnVk
cselekszenek/cselekednek	nyugszik	high	nek	ṉugsiK	ṉugsanak	ṉugsVnVk
cselekszenek/cselekednek	nyugszik	low	nek	ṉugsiK	ṉugsanak	ṉugsVnVk
cselekszenek/cselekednek	úszik	low	nek	úsiK	úsnak	úsnVk
cselekszenek/cselekednek	közeledik	low	ünk	közelediK	közeledünk	közeledVnk
cselekszenek/cselekednek	állapodik	low	nek	állapodiK	állapodnak	állapodnVk
cselekszenek/cselekednek	törlődik	low	nek	törlődiK	törlődnek	törlődnVk
cselekszenek/cselekednek	esküszik	low	nek	ešküsiK	ešküsnek	ešküsnVk
cselekszenek/cselekednek	szűnik	low	nek	sűniK	sűnnek	sűnnVk
cselekszenek/cselekednek	csúszik	low	nek	čúsiK	čúsnak	čúsnVk
cselekszenek/cselekednek	küszködik	low	nek	küsködiK	küsködnek	küsködnVk
cselekszenek/cselekednek	játszódik	low	nek	játsódiK	játsódnak	játsódnVk
cselekszenek/cselekednek	oszlik	high	nek	osliK	oslanak	oslVnVk
cselekszenek/cselekednek	váltakozik	low	nek	váltakoziK	váltakoznak	váltakoznVk
cselekszenek/cselekednek	gyülekezik	low	nek	ḏülekeziK	ḏülekeznek	ḏülekeznVk
cselekszenek/cselekednek	pályázik	low	nek	pájáziK	pájáznak	pájáznVk
cselekszenek/cselekednek	oldódik	low	nek	oldódiK	oldódnak	oldódnVk
cselekszenek/cselekednek	bukik	low	nek	bukiK	buknak	buknVk
cselekszenek/cselekednek	szórakozik	low	nek	sórakoziK	sórakoznak	sórakoznVk
cselekszenek/cselekednek	közlekedik	low	tek	közlekediK	közlekedtek	közlekedtVk
cselekszenek/cselekednek	rendeződik	low	nek	rendeződiK	rendeződnek	rendeződnVk
cselekszenek/cselekednek	közeledik	low	tek	közelediK	közeledtek	közeledtVk
cselekszenek/cselekednek	egyezik	low	tek	eḏeziK	eḏeztek	eḏeztVk
cselekszenek/cselekednek	védekezik	low	tek	védekeziK	védekeztek	védekeztVk
cselekszenek/cselekednek	romlik	high	nek	romliK	romlanak	romlVnVk
cselekszenek/cselekednek	érintkezik	low	nek	érintkeziK	érintkeznek	érintkeznVk
cselekszenek/cselekednek	cselekszik	high	tek	čeleksiK	čelekedtek	čelekedtVk
cselekszenek/cselekednek	cselekszik	low	tek	čeleksiK	čelekedtek	čelekedtVk
cselekszenek/cselekednek	védekezik	low	nek	védekeziK	védekeznek	védekeznVk
cselekszenek/cselekednek	bomlik	high	nek	bomliK	bomlanak	bomlVnVk
cselekszenek/cselekednek	várakozik	low	nek	várakoziK	várakoznak	várakoznVk
cselekszenek/cselekednek	éhezik	low	nek	éheziK	éheznek	éheznVk
cselekszenek/cselekednek	törődik	low	ünk	törődiK	törődünk	törődVnk
cselekszenek/cselekednek	vélekedik	low	tek	vélekediK	vélekedtek	vélekedtVk
cselekszenek/cselekednek	hivatkozik	low	ünk	hivatkoziK	hivatkozunk	hivatkozVnk
cselekszenek/cselekednek	aggódik	low	ünk	aggódiK	aggódunk	aggódVnk
cselekszenek/cselekednek	ismétlődik	low	nek	išmétlődiK	išmétlődnek	išmétlődnVk
cselekszenek/cselekednek	születik	low	ünk	sületiK	sületünk	sületVnk
cselekszenek/cselekednek	álmodik	low	nek	álmodiK	álmodnak	álmodnVk
cselekszenek/cselekednek	létezik	low	ünk	léteziK	létezünk	létezVnk
cselekszenek/cselekednek	rejtőzik	low	nek	rejtőziK	rejtőznek	rejtőznVk
cselekszenek/cselekednek	fejlődik	low	ünk	fejlődiK	fejlődünk	fejlődVnk
cselekszenek/cselekednek	hajlik	high	nek	hajliK	hajlanak	hajlVnVk
cselekszenek/cselekednek	végződik	low	nek	végződiK	végződnek	végződnVk
cselekszenek/cselekednek	késik	low	nek	kéšiK	kéšnek	kéšnVk
cselekszenek/cselekednek	ugrik	high	ünk	ugriK	ugrunk	ugrVnk
cselekszenek/cselekednek	pompázik	low	nek	pompáziK	pompáznak	pompáznVk
cselekszenek/cselekednek	ütközik	low	ünk	ütköziK	ütközünk	ütközVnk
cselekszenek/cselekednek	áramlik	high	nek	áramliK	áramlanak	áramlVnVk
cselekszenek/cselekednek	fáradozik	low	nek	fáradoziK	fáradoznak	fáradoznVk
cselekszenek/cselekednek	vonzódik	low	nek	vonzódiK	vonzódnak	vonzódnVk
cselekszenek/cselekednek	szívódik	low	nek	sívódiK	sívódnak	sívódnVk
cselekszenek/cselekednek	viselkedik	low	ünk	višelkediK	višelkedünk	višelkedVnk
cselekszenek/cselekednek	látszódik	low	nek	látsódiK	látsódnak	látsódnVk
cselekszenek/cselekednek	botlik	high	ünk	botliK	botlunk	botlVnk
cselekszenek/cselekednek	dolgozik	low	tek	dolgoziK	dolgoztok	dolgoztVk
cselekszenek/cselekednek	kereskedik	low	nek	kereškediK	kereškednek	kereškednVk
cselekszenek/cselekednek	mászik	low	nek	másiK	másnak	másnVk
cselekszenek/cselekednek	igyekszik	high	nek	iḏeksiK	iḏeksenek	iḏeksVnVk
cselekszenek/cselekednek	igyekszik	low	nek	iḏeksiK	iḏeksenek	iḏeksVnVk
cselekszenek/cselekednek	változik	low	ünk	változiK	változunk	változVnk
cselekszenek/cselekednek	intézkedik	low	tek	intézkediK	intézkedtek	intézkedtVk
cselekszenek/cselekednek	álmodik	low	ünk	álmodiK	álmodunk	álmodVnk
cselekszenek/cselekednek	adózik	low	nek	adóziK	adóznak	adóznVk
cselekszenek/cselekednek	öltözik	low	nek	öltöziK	öltöznek	öltöznVk
cselekszenek/cselekednek	gazdagodik	low	nek	gazdagodiK	gazdagodnak	gazdagodnVk
cselekszenek/cselekednek	vágyik	low	tek	váḏiK	váḏtok	váḏtVk
cselekszenek/cselekednek	intézkedik	low	nek	intézkediK	intézkednek	intézkednVk
cselekszenek/cselekednek	készülődik	low	nek	késülődiK	késülődnek	késülődnVk
cselekszenek/cselekednek	virágzik	high	nek	virágziK	virágoznak	virágoznVk
cselekszenek/cselekednek	építkezik	low	nek	építkeziK	építkeznek	építkeznVk
cselekszenek/cselekednek	költözik	low	ünk	költöziK	költözünk	költözVnk
cselekszenek/cselekednek	kopik	low	nek	kopiK	kopnak	kopnVk
cselekszenek/cselekednek	védekezik	low	ünk	védekeziK	védekezünk	védekezVnk
cselekszenek/cselekednek	dohányzik	high	nek	doháṉziK	doháṉoznak	doháṉoznVk
cselekszenek/cselekednek	hibázik	low	nek	hibáziK	hibáznak	hibáznVk
cselekszenek/cselekednek	vitatkozik	low	ünk	vitatkoziK	vitatkozunk	vitatkozVnk
cselekszenek/cselekednek	találkozik	low	tek	találkoziK	találkoztok	találkoztVk
cselekszenek/cselekednek	kételkedik	low	nek	kételkediK	kételkednek	kételkednVk
cselekszenek/cselekednek	unatkozik	low	nek	unatkoziK	unatkoznak	unatkoznVk
cselekszenek/cselekednek	bontakozik	low	nek	bontakoziK	bontakoznak	bontakoznVk
cselekszenek/cselekednek	károsodik	low	nek	károšodiK	károšodnak	károšodnVk
cselekszenek/cselekednek	gyökerezik	low	nek	ḏökereziK	ḏökereznek	ḏökereznVk
cselekszenek/cselekednek	tükröződik	low	nek	tükröződiK	tükröződnek	tükröződnVk
cselekszenek/cselekednek	cserélődik	low	nek	čerélődiK	čerélődnek	čerélődnVk
cselekszenek/cselekednek	halmozódik	low	nek	halmozódiK	halmozódnak	halmozódnVk
cselekszenek/cselekednek	fekszik	high	ünk	feksiK	feksünk	feksVnk
cselekszenek/cselekednek	fekszik	low	ünk	feksiK	feksünk	feksVnk
cselekszenek/cselekednek	fejeződik	low	nek	fejeződiK	fejeződnek	fejeződnVk
cselekszenek/cselekednek	vitázik	low	nek	vitáziK	vitáznak	vitáznVk
cselekszenek/cselekednek	közlekedik	low	ünk	közlekediK	közlekedünk	közlekedVnk
cselekszenek/cselekednek	töltődik	low	nek	töltődiK	töltődnek	töltődnVk
cselekszenek/cselekednek	cselekszik	high	nek	čeleksiK	čelekednek	čelekednVk
cselekszenek/cselekednek	cselekszik	low	nek	čeleksiK	čelekednek	čelekednVk
cselekszenek/cselekednek	házasodik	low	nek	házašodiK	házašodnak	házašodnVk
cselekszenek/cselekednek	folyamodik	low	nek	fojamodiK	fojamodnak	fojamodnVk
cselekszenek/cselekednek	veszekszik	high	tek	veseksiK	vesekedtek	vesekedtVk
cselekszenek/cselekednek	veszekszik	low	tek	veseksiK	vesekedtek	vesekedtVk
cselekszenek/cselekednek	formálódik	low	nek	formálódiK	formálódnak	formálódnVk
cselekszenek/cselekednek	jelenik	low	ünk	jeleniK	jelenünk	jelenVnk
cselekszenek/cselekednek	telepszik	low	nek	telepsiK	telepednek	telepednVk
cselekszenek/cselekednek	telepszik	high	nek	telepsiK	telepednek	telepednVk
cselekszenek/cselekednek	ódzkodik	low	nek	ódzkodiK	ódzkodnak	ódzkodnVk
cselekszenek/cselekednek	veszekszik	high	nek	veseksiK	vesekednek	vesekednVk
cselekszenek/cselekednek	veszekszik	low	nek	veseksiK	vesekednek	vesekednVk
cselekszenek/cselekednek	öregszik	high	ünk	öregsiK	öregsünk	öregsVnk
cselekszenek/cselekednek	álmodozik	low	nek	álmodoziK	álmodoznak	álmodoznVk
cselekszenek/cselekednek	özönlik	low	nek	özönliK	özönlenek	özönlVnVk
cselekszenek/cselekednek	termelődik	low	nek	termelődiK	termelődnek	termelődnVk
cselekszenek/cselekednek	búcsúzik	low	nek	búčúziK	búčúznak	búčúznVk
cselekszenek/cselekednek	tiltakozik	low	ünk	tiltakoziK	tiltakozunk	tiltakozVnk
cselekszenek/cselekednek	gyarapszik	low	nek	ḏarapsiK	ḏarapodnak	ḏarapodnVk
cselekszenek/cselekednek	gyarapszik	high	nek	ḏarapsiK	ḏarapodnak	ḏarapodnVk
cselekszenek/cselekednek	tanyázik	low	nek	taṉáziK	taṉáznak	taṉáznVk
cselekszenek/cselekednek	mérkőzik	low	nek	mérkőziK	mérkőznek	mérkőznVk
cselekszenek/cselekednek	íródik	low	nek	íródiK	íródnak	íródnVk
cselekszenek/cselekednek	étkezik	low	nek	étkeziK	étkeznek	étkeznVk
cselekszenek/cselekednek	segédkezik	low	tek	šegédkeziK	šegédkeztek	šegédkeztVk
cselekszenek/cselekednek	záródik	low	nek	záródiK	záródnak	záródnVk
cselekszenek/cselekednek	ereszkedik	low	ünk	ereskediK	ereskedünk	ereskedVnk
cselekszenek/cselekednek	rakódik	low	nek	rakódiK	rakódnak	rakódnVk
cselekszenek/cselekednek	fokozódik	low	nek	fokozódiK	fokozódnak	fokozódnVk
cselekszenek/cselekednek	hibázik	low	ünk	hibáziK	hibázunk	hibázVnk
cselekszenek/cselekednek	osztozik	low	ünk	ostoziK	ostozunk	ostozVnk
cselekszenek/cselekednek	sodródik	low	nek	šodródiK	šodródnak	šodródnVk
cselekszenek/cselekednek	mászik	low	ünk	másiK	másunk	másVnk
cselekszenek/cselekednek	sokasodik	low	nek	šokašodiK	šokašodnak	šokašodnVk
cselekszenek/cselekednek	játszik	high	tek	játsiK	játsotok	játsVtVk
cselekszenek/cselekednek	kötődik	low	ünk	kötődiK	kötődünk	kötődVnk
cselekszenek/cselekednek	távolodik	low	nek	távolodiK	távolodnak	távolodnVk
cselekszenek/cselekednek	tevődik	low	nek	tevődiK	tevődnek	tevődnVk
cselekszenek/cselekednek	imádkozik	low	tek	imádkoziK	imádkoztok	imádkoztVk
cselekszenek/cselekednek	építkezik	low	tek	építkeziK	építkeztek	építkeztVk
cselekszenek/cselekednek	ítélkezik	low	nek	ítélkeziK	ítélkeznek	ítélkeznVk
cselekszenek/cselekednek	nevelkedik	low	tek	nevelkediK	nevelkedtek	nevelkedtVk
cselekszenek/cselekednek	kereskedik	low	tek	kereškediK	kereškedtek	kereškedtVk
cselekszenek/cselekednek	hízik	low	nek	híziK	híznak	híznVk
cselekszenek/cselekednek	fázik	low	nek	fáziK	fáznak	fáznVk
cselekszenek/cselekednek	egybeesik	low	nek	eḏbeešiK	eḏbeešnek	eḏbeešnVk
cselekszenek/cselekednek	cikázik	low	nek	cikáziK	cikáznak	cikáznVk
cselekszenek/cselekednek	részesedik	low	nek	résešediK	résešednek	résešednVk
cselekszenek/cselekednek	ömlik	low	nek	ömliK	ömlenek	ömlVnVk
cselekszenek/cselekednek	szopik	low	nek	sopiK	sopnak	sopnVk
cselekszenek/cselekednek	csapódik	low	nek	čapódiK	čapódnak	čapódnVk
cselekszenek/cselekednek	rajzolódik	low	nek	rajzolódiK	rajzolódnak	rajzolódnVk
cselekszenek/cselekednek	lélegzik	high	ünk	lélegziK	lélegzünk	lélegzVnk
cselekszenek/cselekednek	fotózik	low	ünk	fotóziK	fotózunk	fotózVnk
cselekszenek/cselekednek	lélegzik	high	nek	lélegziK	lélegeznek	lélegeznVk
cselekszenek/cselekednek	érdeklődik	low	ünk	érdeklődiK	érdeklődünk	érdeklődVnk
cselekszenek/cselekednek	eszik	low	tek	esiK	estek	estVk
cselekszenek/cselekednek	sűrűsödik	low	nek	šűrűšödiK	šűrűšödnek	šűrűšödnVk
cselekszenek/cselekednek	késik	low	tek	kéšiK	kéštek	kéštVk
cselekszenek/cselekednek	kanyarodik	low	ünk	kaṉarodiK	kaṉarodunk	kaṉarodVnk
cselekszenek/cselekednek	birkózik	low	nek	birkóziK	birkóznak	birkóznVk
cselekszenek/cselekednek	lakozik	low	nek	lakoziK	lakoznak	lakoznVk
cselekszenek/cselekednek	jeleskedik	low	nek	jeleškediK	jeleškednek	jeleškednVk
cselekszenek/cselekednek	szövődik	low	nek	sövődiK	sövődnek	sövődnVk
cselekszenek/cselekednek	építkezik	low	ünk	építkeziK	építkezünk	építkezVnk
cselekszenek/cselekednek	avatkozik	low	nek	avatkoziK	avatkoznak	avatkoznVk
cselekszenek/cselekednek	focizik	low	nek	fociziK	fociznak	fociznVk
cselekszenek/cselekednek	barátkozik	low	nek	barátkoziK	barátkoznak	barátkoznVk
cselekszenek/cselekednek	emelkedik	low	ünk	emelkediK	emelkedünk	emelkedVnk
cselekszenek/cselekednek	szórakozik	low	ünk	sórakoziK	sórakozunk	sórakozVnk
cselekszenek/cselekednek	öregszik	high	nek	öregsiK	öregsenek	öregsVnVk
cselekszenek/cselekednek	hazudik	low	ünk	hazudiK	hazudunk	hazudVnk
cselekszenek/cselekednek	tojik	low	nek	tojiK	tojnak	tojnVk
cselekszenek/cselekednek	hajózik	low	ünk	hajóziK	hajózunk	hajózVnk
cselekszenek/cselekednek	kerekedik	low	tek	kerekediK	kerekedtek	kerekedtVk
cselekszenek/cselekednek	pályázik	low	ünk	pájáziK	pájázunk	pájázVnk
cselekszenek/cselekednek	tartozik	low	tek	tartoziK	tartoztok	tartoztVk
cselekszenek/cselekednek	bővelkedik	low	nek	bővelkediK	bővelkednek	bővelkednVk
cselekszenek/cselekednek	szökik	low	nek	sökiK	söknek	söknVk
cselekszenek/cselekednek	fázik	low	ünk	fáziK	fázunk	fázVnk
cselekszenek/cselekednek	étkezik	low	ünk	étkeziK	étkezünk	étkezVnk
cselekszenek/cselekednek	zárkózik	low	nek	zárkóziK	zárkóznak	zárkóznVk
cselekszenek/cselekednek	fonódik	low	nek	fonódiK	fonódnak	fonódnVk
cselekszenek/cselekednek	bulizik	low	nek	buliziK	buliznak	buliznVk
cselekszenek/cselekednek	baszik	low	nek	basiK	basnak	basnVk
cselekszenek/cselekednek	fürdik	low	nek	fürdiK	fürdenek	fürdVnVk
cselekszenek/cselekednek	kúszik	low	nek	kúsiK	kúsnak	kúsnVk
cselekszenek/cselekednek	vetődik	low	nek	vetődiK	vetődnek	vetődnVk
cselekszenek/cselekednek	haragszik	high	nek	haragsiK	haragsanak	haragsVnVk
cselekszenek/cselekednek	haragszik	low	nek	haragsiK	haragsanak	haragsVnVk
cselekszenek/cselekednek	vágyakozik	low	nek	váḏakoziK	váḏakoznak	váḏakoznVk
cselekszenek/cselekednek	jeleskedik	low	tek	jeleškediK	jeleškedtek	jeleškedtVk
cselekszenek/cselekednek	esküszik	low	ünk	ešküsiK	ešküsünk	ešküsVnk
